city,edges_leaving,edge_weights
Vancouver,[Seattle],[150]
Seattle,"[Portland (OR), Vancouver]","[170, 150]"
Portland (OR),"[Eugene, Seattle]","[110, 170]"
Eugene,"[Redding, Portland (OR)]","[320, 110]"
Redding,"[Sacramento, Eugene]","[160, 320]"
Sacramento,"[Redding, Reno, San Francisco, Merced]","[160, 140, 90, 120]"
Reno,[Sacramento],[140]
San Francisco,"[Sacramento, San Jose]","[90, 50]"
San Jose,"[San Francisco, Merced]","[50, 120]"
Merced,"[Sacramento, San Jose, Fresno]","[120, 120, 60]"
Fresno,"[Merced, Bakersfield]","[60, 110]"
Bakersfield,"[Fresno, Los Angeles]","[110, 110]"
Los Angeles,"[Bakersfield, Anaheim, Riverside, Las Vegas]","[110, 30, 50, 270]"
Anaheim,[Los Angeles],[30]
Riverside,"[Los Angeles, San Diego, Phoenix]","[50, 100, 320]"
San Diego,"[Riverside, Tijuana]","[100, 20]"
Tijuana,[San Diego],[20]
Las Vegas,"[Los Angeles, Green River]","[270, 410]"
Green River,"[Las Vegas, Salt Lake City, Denver]","[410, 180, 340]"
Salt Lake City,[Green River],[180]
Denver,"[Green River, Cheyenne, Colorado Springs, Omaha]","[340, 100, 70, 540]"
Cheyenne,[Denver],[100]
Colorado Springs,"[Denver, Santa Fe]","[70, 320]"
Santa Fe,"[Colorado Springs, Albuquerque]","[320, 60]"
Phoenix,"[Riverside, Tuscon]","[320, 110]"
Tuscon,"[Phoenix, Las Cruces]","[110, 280]"
Albuquerque,"[Santa Fe, Las Cruces]","[60, 220]"
Las Cruces,"[Albuquerque, Tuscon, El Paso]","[220, 280, 50]"
El Paso,"[Las Cruces, Juarez, Midland]","[50, 10, 310]"
Juarez,[El Paso],[10]
Midland,"[El Paso, San Antonio]","[310, 320]"
San Antonio,"[Midland, Austin, Corpus Christi]","[320, 80, 140]"
Corpus Christi,"[San Antonio, McAllen]","[140, 150]"
McAllen,"[Corpus Christi, Monterrey]","[150, 150]"
Monterrey,[McAllen],[150]
Austin,"[San Antonio, Houston, Dallas/Fort Worth]","[80, 160, 200]"
Houston,"[Austin, Beaumont]","[160, 90]"
Beaumont,"[Houston, Baton Rouge]","[90, 190]"
Baton Rouge,"[Beaumont, New Orleans]","[190, 80]"
New Orleans,"[Baton Rouge, Mobile, Hattiesburg]","[80, 140, 110]"
Mobile,"[New Orleans, Pensacola]","[140, 60]"
Pensacola,"[Mobile, Tallahassee]","[60, 200]"
Tallahassee,"[Pensacola, Orlando]","[200, 260]"
Orlando,"[Tallahassee, Tampa, Daytona Beach, Port St. Lucie]","[260, 80, 60, 130]"
Tampa,"[Orlando, Fort Meyers]","[80, 130]"
Fort Meyers,"[Tampa, Miami]","[130, 160]"
Miami,"[Fort Meyers, West Palm Beach]","[160, 70]"
